# (c) Der Bundeswahlleiter, Wiesbaden 2016
55;HB;Bremen II – Bremerhaven;227276;148510;2083;1794;146427;146716;42067;41205;64276;56702;2189;4036;13335;14782;12325;14566;0;0;3982;3699;2393;2240;0;1824;0;0;0;0;0;0;432;276;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;5428;6044;0;0;0;267;0;0;0;416;0;0;0;0;590;0;0;0;0;0
904;HB;Land;483823;333022;4211;3610;328811;329412;97265;96459;133437;117204;6360;11204;28521;33284;37667;40014;0;0;8831;8455;3796;3640;0;3465;0;0;0;0;0;0;432;395;0;0;0;0;0;0;0;0;0;0;207;156;0;0;0;10764;12307;0;0;0;466;0;0;0;814;0;0;0;1531;1549;0;0;0;0;0
56;BB;Prignitz – Ostprignitz-Ruppin – Havelland I;180670;114988;2406;1897;112582;113091;37520;40787;33293;28483;1454;2526;27179;25496;3123;3925;0;0;2955;2179;3404;2781;0;0;0;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;5400;0;0;0;420;0;0;98;856;0;0;0;0;0;0;0;22;0;3534
57;BB;Uckermark – Barnim I;188083;120636;2272;2053;118364;118583;45206;43017;27042;26578;1771;2519;32168;28513;3561;4516;0;0;3007;2425;4042;3125;0;0;0;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;0;0;0;6075;0;0;0;393;0;0;1477;1113;0;0;0;0;0;0;0;0;0;90
58;BB;Oberhavel – Havelland II;236545;168983;3454;2683;165529;166300;62537;60586;46164;39392;2473;4965;32085;30178;8241;9558;0;0;5035;3732;5456;3959;0;0;0;288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;0;0;0;11225;0;0;0;747;0;0;2383;1513;0;0;0;0;0;0;0;284;0;871
59;BB;Märkisch-Oderland – Barnim II;223734;155091;3529;3432;151562;151659;51398;48700;30938;33220;1681;3366;49896;40055;5140;6277;0;0;4037;3528;5136;3753;0;0;0;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;0;0;0;0;9682;0;0;0;785;0;0;2232;1899;0;0;0;0;0;0;0;0;0;1104
60;BB;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;187129;121487;2389;2164;119098;119323;39112;40620;39596;31368;1849;2707;28275;27318;2888;4488;0;0;2962;2338;3814;3049;0;0;0;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;0;0;0;0;5778;0;0;0;439;0;0;0;913;0;0;0;0;0;0;0;0;0;602
61;BB;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;238626;177548;3004;2257;174544;175291;56236;54471;56428;43710;3036;5642;35443;36805;12655;15939;0;0;5293;4683;3033;1987;0;0;0;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;262;0;0;0;0;10000;0;0;0;586;0;0;0;1007;0;0;0;0;0;0;0;0;0;2420
62;BB;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;246970;174159;3562;3102;170597;171057;63650;59845;46319;38793;2153;4784;36755;36799;6572;7727;0;0;4483;3748;5696;4548;0;0;924;587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;0;0;10887;0;0;0;737;0;0;3670;2419;0;0;0;0;0;0;0;333;0;42
63;BB;Frankfurt (Oder) – Oder-Spree;199341;135293;3167;2463;132126;132830;44822;44301;32291;29631;2252;2922;37008;32862;5192;5266;0;0;4977;2911;5584;4058;0;0;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;0;0;0;0;8562;0;0;0;642;0;0;0;1219;0;0;0;0;0;0;0;0;0;0
64;BB;Cottbus – Spree-Neiße;187157;125920;2689;2207;123231;123713;44301;44230;29510;26863;2498;2984;24681;27965;3278;4382;0;0;2889;2615;4929;3897;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;0;0;0;8555;0;0;0;525;0;0;0;1355;0;0;0;901;0;0;0;245;0;9999
65;BB;Elbe-Elster – Oberspreewald-Lausitz II;177689;118680;2668;2165;116012;116515;47454;46044;26132;23136;2085;2950;27137;25321;2899;3104;0;0;3834;2626;5608;4421;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;0;0;0;0;6911;0;0;0;531;0;0;0;1122;0;0;0;0;0;0;0;323;0;540
912;BB;Land;2065944;1412785;29140;24423;1383645;1388362;492236;482601;367713;321174;21252;35365;330627;311312;53549;65182;0;0;39472;30785;46702;35578;0;0;924;2488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1581;0;0;0;0;83075;0;0;0;5805;0;0;9860;13416;0;0;0;901;0;0;0;1207;0;19202
66;ST;Altmark;172378;107895;1857;1678;106038;106217;44686;44655;18616;20196;1489;2278;32164;26180;2998;3542;0;0;2541;1997;2613;2227;0;0;0;0;0;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;0;0;0;0;3826;0;0;0;306;0;0;931;722;0;0;0;0;0;0;0;0;0;0
67;ST;Börde – Jerichower Land;228139;141814;2976;2488;138838;139326;61890;60207;32118;27279;3686;3995;29759;30235;3611;4281;0;0;4224;2556;0;2903;0;0;0;0;0;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;5380;0;0;0;458;0;0;2854;1630;0;0;0;0;0;0;0;0;0;696
68;ST;Harz;224917;132539;2595;2340;129944;130199;59779;56619;24875;24407;1852;2961;29860;29875;4928;4716;0;0;2556;2255;3304;2651;1679;0;0;0;0;293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;4924;0;0;0;433;0;0;1111;929;0;0;0;0;0;0;0;0;0;0
69;ST;Magdeburg;244267;154404;2836;2378;151568;152026;55046;56982;38153;31763;2090;3687;38231;36473;6073;8490;0;0;4153;3654;2786;2272;2758;0;0;0;0;348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;403;280;0;0;0;0;6355;0;0;0;466;0;0;1875;1256;0;0;0;0;0;0;0;0;0;0
70;ST;Dessau – Wittenberg;185954;120805;1836;1758;118969;119047;53048;50633;20545;20354;1489;2892;26015;27136;5196;4703;0;0;2053;2160;2814;2799;0;0;0;0;0;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;5575;6050;0;0;0;327;0;0;2234;1728;0;0;0;0;0;0;0;0;0;0
71;ST;Anhalt;236732;140667;2714;2498;137953;138169;56514;57357;21244;23224;2778;3556;39715;35425;2884;3572;0;0;1720;2200;3450;3516;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;389;283;0;0;0;6314;6635;0;0;0;389;0;0;2945;1848;0;0;0;0;0;0;0;0;0;0
72;ST;Halle;219667;143332;2185;2042;141147;141290;51206;53265;32957;25259;2958;4418;36006;34449;5286;10185;0;0;2898;3599;1987;2134;0;0;0;0;0;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449;317;0;0;0;4768;5879;0;0;0;341;0;0;1307;1147;0;0;0;0;0;0;0;0;0;1325
73;ST;Burgenland – Saalekreis;201043;123809;2170;1962;121639;121847;54544;52194;18791;19850;1879;3374;31300;28933;4760;3732;0;0;2488;2097;4854;3920;0;0;0;0;0;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;5234;0;0;0;475;0;0;2581;1695;0;0;0;0;0;0;0;0;0;442
74;ST;Mansfeld;217783;132983;2572;2289;130411;130694;54705;53869;23560;22399;2458;3837;35982;33613;3193;3637;0;0;3123;2235;4277;3478;0;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;5378;0;0;0;485;0;0;2232;1403;0;0;0;0;0;0;0;0;0;881
915;ST;Land;1930880;1198248;21741;19433;1176507;1178815;491418;485781;230859;214731;20679;30998;299032;282319;38929;46858;0;0;25756;22753;26085;25900;4437;0;0;0;0;1978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1241;1798;0;0;0;16657;49661;0;0;0;3680;0;0;18070;12358;0;0;0;0;0;0;0;0;0;3344
75;BE;Berlin-Mitte;204085;141574;2282;2174;139292;139400;33265;31544;39360;36403;2088;5134;23200;26068;25687;23329;0;0;5463;6608;1363;1234;0;0;0;198;0;319;0;0;0;0;0;0;0;0;0;0;217;144;0;0;202;145;0;0;76;4212;5443;479;473;0;292;0;0;239;304;0;0;0;1856;1686;0;0;261;0;1400
76;BE;Berlin-Pankow;235344;175061;2414;2237;172647;172824;41295;40617;36180;38030;1581;4380;48926;43472;25442;24300;0;0;5860;6767;2872;2597;0;0;0;231;0;416;0;0;0;0;0;0;0;0;0;0;322;182;0;0;0;146;0;0;124;7088;8372;0;84;0;457;0;0;861;665;0;0;0;2220;1984;0;0;0;0;0
77;BE;Berlin-Reinickendorf;182934;133484;2603;2428;130881;131056;58845;52545;38593;34571;2605;5708;8508;10394;8790;11427;0;0;3251;3417;2254;1976;0;0;0;310;0;240;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;44;0;0;50;5852;7906;0;209;0;449;0;0;624;661;0;0;0;865;1074;0;0;0;0;694
78;BE;Berlin-Spandau – Charlottenburg Nord;187363;130485;2722;2639;127763;127846;50071;46757;47790;36932;1788;4856;9199;12146;5942;10542;0;0;4030;3960;2022;1815;0;0;0;310;0;224;0;0;0;0;0;0;0;0;0;0;270;164;0;0;0;85;0;0;55;5543;7458;553;460;0;494;0;0;555;550;0;0;0;0;1038;0;0;0;0;0
79;BE;Berlin-Steglitz-Zehlendorf;220007;175539;2559;2102;172980;173437;73460;64500;50540;44371;4605;11057;9102;12426;20416;23487;0;0;4216;4358;1165;1016;0;0;0;169;0;353;0;0;0;0;0;0;0;0;0;0;281;140;0;0;0;55;0;0;50;7321;9257;0;160;0;331;0;0;598;552;0;0;0;1276;1155;0;0;0;0;0
80;BE;Berlin-Charlottenburg-Wilmersdorf;197797;153420;2086;1755;151334;151665;56079;49285;47619;41058;3801;10347;9368;13446;22176;23324;0;0;3657;3872;754;639;0;0;0;114;0;242;0;0;84;0;0;0;0;0;0;0;181;120;0;0;0;45;0;0;39;5649;7276;227;205;0;220;0;0;478;457;0;0;0;1057;976;0;0;0;0;204
81;BE;Berlin-Tempelhof-Schöneberg;235259;177205;3046;2773;174159;174432;60926;55275;45659;47834;2585;7134;12801;17937;35461;26941;0;0;5233;5526;1789;1588;0;0;0;219;0;342;0;0;0;0;0;0;0;0;0;0;348;221;0;0;0;73;0;0;63;6391;7988;567;473;0;481;0;0;905;759;0;0;0;1494;1578;0;0;0;0;0
82;BE;Berlin-Neukölln;205635;140825;3102;2868;137723;137957;42092;40038;44528;36211;1861;4122;16144;19677;16126;19156;0;0;6094;5654;3094;2627;0;0;0;216;0;255;0;0;0;0;0;0;0;0;0;0;222;126;0;0;208;143;0;0;80;4140;5832;0;617;0;454;0;0;794;689;0;0;0;2420;2060;0;0;0;0;0
83;BE;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;226240;168048;2317;2358;165731;165690;22723;25474;29799;39784;1647;3579;28441;41639;66056;34420;0;0;6317;9612;1291;1140;0;0;0;107;0;426;0;0;0;0;0;0;0;0;0;0;108;86;457;0;0;209;0;0;126;3325;4623;602;594;0;252;0;0;515;477;0;0;0;2666;3142;624;0;0;0;1160
84;BE;Berlin-Treptow-Köpenick;201629;148406;2187;2125;146219;146281;33036;37170;26093;31204;1429;2904;61661;43118;7344;10787;0;0;4205;5176;4039;3795;0;0;0;227;0;328;0;0;0;0;0;0;0;0;0;0;218;199;0;0;208;191;0;0;83;5788;8106;0;88;0;524;0;0;855;894;0;0;0;1343;1487;0;0;0;0;0
85;BE;Berlin-Marzahn-Hellersdorf;203968;132817;2078;2085;130739;130732;33552;33947;22341;25103;938;2278;50866;43026;4071;5068;0;0;3668;3996;5540;5101;0;0;0;243;0;202;0;0;0;0;0;0;0;0;0;0;239;181;0;0;0;111;0;0;102;6347;8319;0;73;1101;1116;0;0;717;752;0;0;0;860;1114;0;0;0;0;499
86;BE;Berlin-Lichtenberg;205457;138551;2259;2150;136292;136401;30988;31491;26636;27886;939;2117;54932;47158;5748;7956;0;0;4917;5072;3858;3486;0;0;0;220;0;265;0;0;0;0;0;0;0;0;0;0;231;172;0;0;0;163;0;0;117;5827;7480;0;73;0;595;0;0;997;771;0;0;0;0;1379;0;0;0;0;1219
911;BE;Land;2505718;1815415;29655;27694;1785760;1787721;536332;508643;455138;439387;25867;63616;333148;330507;243259;220737;0;0;56911;64018;30041;27014;0;0;0;2564;0;3612;0;0;84;0;0;0;0;0;0;0;2637;1810;457;0;618;1410;0;0;965;67483;88060;2428;3509;1101;5665;0;0;8138;7531;0;0;0;16057;18673;624;0;261;0;5176
87;NW;Aachen I;179933;134447;1476;1213;132971;133234;54175;48728;46907;36432;2883;8401;8225;10212;11931;17485;0;0;4541;4669;743;680;0;0;0;116;0;221;0;0;0;40;0;0;0;0;0;0;0;17;0;0;0;25;0;137;14;2961;4149;0;123;0;160;46;0;605;555;149;0;91;0;784;0;0;0;0;0
88;NW;Aachen II;228375;164576;3027;2308;161549;162268;73621;66328;57635;52897;3827;7948;9418;10538;9096;10220;0;0;4543;3712;2153;1697;0;0;1256;792;0;213;0;0;0;77;0;0;0;0;0;0;0;30;0;0;0;26;0;338;30;0;5337;0;111;0;320;55;0;0;551;225;0;104;0;719;0;0;0;0;0
89;NW;Heinsberg;188266;134521;2205;1882;132316;132639;70649;65417;37444;34895;2921;6543;5720;6915;7511;7336;0;0;3310;3019;1718;1427;0;0;0;254;0;145;0;0;0;77;0;0;0;0;0;0;0;29;0;0;0;18;0;231;44;3043;4652;0;60;0;251;26;0;0;437;195;0;112;0;556;0;0;0;0;0
90;NW;Düren;199550;145541;2765;2070;142776;143471;71903;63532;48849;42549;2722;7102;7288;8120;6951;8729;0;0;4867;3478;0;1565;0;0;0;183;0;148;0;0;0;74;0;0;0;0;0;0;0;35;0;0;0;31;0;373;40;0;5732;0;67;0;311;46;0;0;344;238;0;122;0;652;0;0;0;0;196
91;NW;Rhein-Erft-Kreis I;247721;182970;6195;4235;176775;178735;83598;75521;63676;55089;5390;10235;7820;9266;9822;12264;0;0;6469;3865;0;1769;0;0;0;245;0;221;0;0;0;108;0;0;0;0;0;0;0;46;0;0;0;19;0;407;44;0;6660;0;225;0;700;73;0;0;747;313;0;227;0;691;0;0;0;0;0
92;NW;Euskirchen – Rhein-Erft-Kreis II;245268;178218;3940;2747;174278;175471;88759;79055;53703;46982;6101;11611;8166;9075;10066;12544;0;0;4894;3826;2589;1702;0;0;0;191;0;213;0;0;0;94;0;0;0;0;0;0;0;24;0;0;0;35;0;473;33;0;7183;0;96;0;489;20;0;0;576;277;0;210;0;762;0;0;0;0;0
93;NW;Köln I;191277;132837;1445;1235;131392;131602;48232;43863;48632;40759;3243;7235;8583;10709;13513;16056;0;0;3361;3501;1329;1032;0;0;0;168;0;204;0;0;0;80;0;0;0;0;0;0;170;61;0;0;0;73;0;208;31;3885;5367;0;254;0;411;18;0;444;337;241;0;111;0;883;0;0;0;0;0
94;NW;Köln II;233118;184162;1478;1143;182684;183019;73011;64909;59975;48190;4762;14871;9521;12689;26426;28642;0;0;3677;4072;783;596;0;0;0;103;0;328;0;0;0;53;0;0;0;0;0;0;107;38;0;0;0;43;0;213;37;3839;5955;0;132;0;245;10;0;583;403;364;0;96;0;1030;0;0;0;0;0
95;NW;Köln III;201922;141714;1765;1368;139949;140346;45999;42902;55021;44240;3158;6339;10883;12960;18046;20905;0;0;4161;3789;1750;1057;0;0;0;151;0;263;0;0;0;67;0;0;0;0;0;0;203;59;0;0;0;57;0;248;34;0;4513;0;381;0;488;27;0;728;405;293;0;127;0;1041;0;0;0;0;0
96;NW;Bonn;226487;175014;2143;1775;172871;173239;64778;62844;65955;44909;10416;14418;7523;10988;14797;23686;0;0;4113;4418;0;801;0;0;0;92;0;293;0;0;0;47;0;0;0;0;0;0;0;25;0;0;0;42;0;197;21;4382;7389;0;955;0;358;19;0;0;309;217;0;132;907;1079;0;0;0;0;0
97;NW;Rhein-Sieg-Kreis I;234377;172653;2251;1906;170402;170747;84556;74187;50271;46065;4172;10796;7946;9496;10895;14000;0;0;3472;3771;1618;1464;0;0;0;148;0;238;0;0;0;103;0;0;0;0;0;0;0;23;0;0;0;18;1150;809;38;5519;7514;0;152;0;315;20;0;803;534;205;0;138;0;713;0;0;0;0;0
98;NW;Rhein-Sieg-Kreis II;213791;164635;2190;1725;162445;162910;85058;73860;44098;39571;5058;13468;5445;7433;11732;14122;0;0;3151;3163;1207;1091;0;0;0;111;0;270;0;0;0;75;0;0;0;0;0;0;0;21;0;0;0;18;598;421;17;5058;7362;0;146;0;299;10;0;1040;585;163;0;115;0;589;0;0;0;0;0
99;NW;Oberbergischer Kreis;209414;150899;1983;1953;148916;148946;77800;67437;44773;40185;3226;8446;6373;8055;7675;10347;0;0;2769;2849;1491;1329;0;0;0;152;0;262;0;0;0;72;0;0;0;0;0;0;0;18;0;0;0;26;0;363;32;4455;7487;0;80;0;473;21;0;0;364;189;0;130;0;629;0;0;0;0;354
100;NW;Rheinisch-Bergischer Kreis;216414;169131;1527;1411;167604;167720;98017;73278;41894;43721;2937;11676;6884;8473;11472;15113;0;0;0;3311;1241;1149;0;0;0;155;0;265;0;0;0;79;0;0;0;0;0;0;0;25;0;0;0;30;0;294;24;4713;7945;0;119;0;348;28;0;0;463;297;0;153;0;774;0;0;0;0;446
101;NW;Leverkusen – Köln IV;214098;150030;2086;1590;147944;148440;58201;52884;61172;48511;3447;7212;8554;10615;10589;14283;0;0;0;3816;2450;1578;0;0;0;177;0;202;0;0;0;65;0;0;0;0;0;0;0;30;0;0;398;164;0;315;23;0;5807;0;277;0;514;16;0;1604;632;230;0;96;1529;993;0;0;0;0;0
102;NW;Wuppertal I;213132;145925;2520;1987;143405;143938;52427;47470;58407;46638;4314;8198;10992;12499;10198;14318;0;0;4264;3561;2803;1620;0;0;0;390;0;202;0;0;0;61;0;0;0;0;0;0;0;19;0;0;0;131;0;311;37;0;5989;0;187;0;473;79;0;0;440;227;0;126;0;962;0;0;0;0;0
103;NW;Solingen – Remscheid – Wuppertal II;226117;160929;2357;1908;158572;159021;70269;62029;52931;48123;4170;9650;9222;10740;11334;12676;0;0;4432;3901;0;1590;0;0;0;345;0;216;0;0;0;74;0;0;0;0;0;0;0;32;0;0;430;177;0;320;36;5784;6853;0;263;0;500;25;0;0;347;200;0;138;0;786;0;0;0;0;0
104;NW;Mettmann I;205564;154473;1800;1590;152673;152883;75628;65696;52832;43173;2964;9660;5697;7808;7735;11699;0;0;3134;3243;0;1273;0;0;0;283;0;229;0;0;0;96;0;0;0;0;0;0;0;45;0;0;0;26;0;273;30;4683;7764;0;148;0;328;47;0;0;305;199;0;101;0;457;0;0;0;0;0
105;NW;Mettmann II;165493;123036;1657;1382;121379;121654;55307;50254;45091;37580;2920;7421;5166;6646;5987;8408;0;0;2997;2655;0;1097;0;0;0;197;0;147;0;0;0;55;0;0;0;0;0;0;0;26;0;0;0;31;0;212;21;3911;5730;0;96;0;245;39;0;0;197;176;0;74;0;347;0;0;0;0;0
106;NW;Düsseldorf I;218889;165028;1635;1353;163393;163675;78206;65978;47731;43269;5825;14985;8657;10505;13427;15445;0;0;3063;3458;824;770;0;0;466;379;0;182;0;0;0;63;0;0;0;0;0;0;0;33;0;0;173;81;0;202;28;5021;6891;0;126;0;201;21;0;0;241;187;0;89;0;541;0;0;0;0;0
107;NW;Düsseldorf II;196250;139390;1983;1348;137407;138042;55990;51050;48065;41737;3980;7979;12538;10705;10315;13399;0;0;3848;3509;1330;1048;0;0;961;550;0;188;0;0;0;65;0;0;0;0;0;0;380;81;0;0;0;61;0;245;35;0;5845;0;154;0;283;18;0;0;256;193;0;85;0;556;0;0;0;0;0
108;NW;Neuss I;214614;154444;1878;1635;152566;152809;78712;69480;46619;42604;3507;9418;5983;7606;7226;9363;0;0;3891;3666;1665;1503;0;0;0;226;0;187;0;0;0;92;0;0;0;0;0;0;0;43;0;0;0;39;0;297;39;4155;6276;0;201;0;358;26;0;808;646;168;0;107;0;464;0;0;0;0;0
109;NW;Mönchengladbach;192676;127559;1953;1617;125606;125942;63843;55030;36665;35447;2847;7414;7827;8080;7638;7792;0;0;0;3149;1663;1339;0;0;0;145;0;158;0;0;0;45;0;0;0;0;0;0;0;20;0;0;0;30;0;199;23;4259;5255;0;124;0;310;20;0;0;316;179;0;123;864;744;0;0;0;0;0
110;NW;Krefeld I – Neuss II;202204;150999;1858;1579;149141;149420;73201;66802;46148;40968;5447;10901;6165;7768;8693;10303;0;0;3372;3173;1415;1192;0;0;0;155;0;165;0;0;0;77;0;0;0;0;0;0;0;34;0;0;0;42;0;301;34;3633;5753;0;156;0;289;24;0;529;457;150;0;80;538;596;0;0;0;0;0
111;NW;Viersen;227631;167490;1886;1693;165604;165797;87764;76747;47198;44103;3857;10493;7998;8897;8880;11106;0;0;3466;3464;1684;1557;0;0;0;145;0;204;0;0;0;99;0;0;0;0;0;0;0;37;0;0;0;32;0;355;43;4182;6806;0;105;0;303;20;0;575;457;159;0;113;0;552;0;0;0;0;0
112;NW;Kleve;225823;161873;2383;1713;159490;160160;81216;77833;52778;43253;5003;9094;0;7322;9220;9856;0;0;4327;3212;1630;1293;0;0;0;115;0;198;0;0;0;94;0;0;0;0;0;0;0;24;0;0;0;31;0;280;23;5316;6300;0;47;0;306;30;0;0;234;137;0;101;0;377;0;0;0;0;0
113;NW;Wesel I;207485;153981;1736;1512;152245;152469;66172;59970;59709;53249;2781;7224;7527;9091;7489;9780;0;0;3567;3154;0;1646;0;0;0;229;0;158;0;0;490;243;0;0;0;0;0;0;0;25;0;0;0;36;0;256;28;4510;5678;0;84;0;346;39;0;0;295;179;0;116;0;643;0;0;0;0;0
